20.235.105.146:443#IN [167.32ms]
20.219.46.208:8443#IN [167.82ms]
139.84.168.252:2053#IN [195.44ms]
129.154.251.13:443#IN [197.33ms]
143.110.247.61:2096#IN [221.14ms]
139.84.168.252:8443#IN [222.19ms]
143.110.247.61:2053#IN [224.73ms]
143.110.247.61:8443#IN [224.87ms]
216.10.243.159:443#IN [232.75ms]
83.229.6.134:443#IT [147.2ms]
45.92.70.176:8443#IT [195.12ms]
132.243.205.57:8443#IT [202.64ms]
132.243.205.93:8443#IT [203.37ms]
132.243.205.63:8443#IT [205.1ms]
132.243.205.87:8443#IT [214.22ms]
132.243.205.81:8443#IT [221.61ms]
132.243.205.99:8443#IT [234.46ms]
217.61.61.242:443#IT [237.67ms]
151.241.215.148:443#IT [244.62ms]
54.238.157.207:443#JP [优选高速 72.82ms]
154.36.183.65:443#JP [优选高速 77.14ms]
13.231.5.138:443#JP [优选高速 77.58ms]
154.19.187.181:443#JP [优选高速 83.2ms]
154.19.187.181:8443#JP [优选高速 83.61ms]
139.180.198.32:443#JP [85.65ms]
45.76.54.215:443#JP [86.97ms]
178.239.117.76:443#JP [优选高速 87.02ms]
45.192.202.99:443#JP [优选高速 87.14ms]
167.179.76.8:443#JP [87.37ms]
5.144.180.142:443#KG [257.44ms]
188.240.213.98:8443#KG [267.0ms]
123.111.169.70:2083#KR [优选高速 61.54ms]
123.111.169.70:8443#KR [优选高速 63.42ms]
123.111.169.70:2096#KR [优选高速 63.54ms]
123.111.169.70:2087#KR [优选高速 63.75ms]
123.111.169.70:443#KR [优选高速 66.95ms]
123.111.169.70:2053#KR [优选高速 73.04ms]
134.185.97.168:443#KR [优选高速 74.49ms]
152.67.208.8:443#KR [优选高速 77.08ms]
168.107.13.136:8443#KR [优选高速 81.28ms]
129.154.50.159:443#KR [优选高速 89.16ms]
195.49.215.254:8443#KZ [181.39ms]
94.247.128.245:443#KZ [197.57ms]
185.22.67.12:443#KZ [198.05ms]
46.8.254.102:8443#KZ [209.01ms]
185.5.74.38:443#KZ [210.54ms]
104.238.24.99:443#KZ [215.4ms]
46.247.41.214:443#KZ [220.23ms]
104.238.24.42:443#KZ [223.55ms]
104.238.24.139:8443#KZ [227.76ms]
45.80.208.246:443#KZ [231.14ms]
185.80.129.84:443#LT [171.66ms]
46.29.234.91:8443#LT [190.94ms]
185.80.128.115:8443#LT [219.74ms]
130.12.171.96:8443#LT [228.93ms]
130.12.171.173:443#LT [246.84ms]
144.31.243.149:8443#LT [252.65ms]
103.231.72.6:8443#LT [267.79ms]
45.12.136.62:2053#LT [270.47ms]
103.113.69.63:443#LT [271.44ms]
144.31.243.85:8443#LT [278.06ms]
213.21.222.110:443#LV [216.39ms]
138.124.182.204:443#LV [222.21ms]
103.231.73.184:8443#LV [224.58ms]
213.21.222.70:8443#LV [225.13ms]
146.19.84.90:2053#LV [225.44ms]
169.40.5.76:443#LV [243.69ms]
5.34.209.139:2053#LV [246.87ms]
5.34.209.139:8443#LV [250.61ms]
217.60.2.248:8443#LV [254.81ms]
